position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
WR,32,160.0,150.7,138.5,2246/15,149.73333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,33,159.2,147.4,137.9,889/6,148.16666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,34,146.8,145.4,135.1,4273/30,142.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,35,144.9,144.5,132.6,422/3,140.66666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,36,141.5,141.5,131.4,2072/15,138.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,37,138.9,136.0,130.4,1351/10,135.1,(ttl_2023+ttl_2024+ttl_2025)/3
WR,38,138.2,134.4,128.8,669/5,133.8,(ttl_2023+ttl_2024+ttl_2025)/3
WR,39,134.9,133.1,126.4,1972/15,131.46666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,40,133.8,130.2,124.1,3881/30,129.36666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,41,133.0,128.1,123.6,3847/30,128.23333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,42,122.2,126.9,114.9,364/3,121.33333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,43,121.8,122.1,112.8,1189/10,118.9,(ttl_2023+ttl_2024+ttl_2025)/3
WR,44,118.6,121.1,108.4,3481/30,116.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,45,116.8,119.0,107.3,3431/30,114.36666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,46,116.6,115.7,105.3,1688/15,112.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,47,115.4,115.1,104.2,3347/30,111.56666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,48,111.4,114.5,99.8,3257/30,108.56666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,49,111.3,113.6,99.7,541/5,108.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,50,110.3,112.8,98.4,643/6,107.16666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,51,109.2,112.7,97.9,533/5,106.6,(ttl_2023+ttl_2024+ttl_2025)/3
WR,52,102.6,109.8,92.5,3049/30,101.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,53,101.9,109.1,90.4,1507/15,100.46666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,54,99.4,108.6,89.9,993/10,99.3,(ttl_2023+ttl_2024+ttl_2025)/3
WR,55,97.6,102.8,89.5,2899/30,96.633333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,56,94.4,101.9,88.9,1426/15,95.066666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,57,94.1,101.0,87.5,471/5,94.2,(ttl_2023+ttl_2024+ttl_2025)/3
WR,58,92.2,100.9,84.7,463/5,92.6,(ttl_2023+ttl_2024+ttl_2025)/3
WR,59,90.0,100.7,83.4,2741/30,91.366666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
WR,60,89.6,100.4,81.5,181/2,90.5,(ttl_2023+ttl_2024+ttl_2025)/3
WR,61,87.3,99.7,79.8,1334/15,88.933333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
WR,62,85.1,99.3,76.4,1304/15,86.933333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
